t,selected,mass,export,input_monomers,input_molecules
2.887906588824020204e+01,1.999999907892057525e-09,1.000000000000000178e+01,6.244910476855175912e-06,2.887906588824020560e+02,1.732743953294412051e+02
2.904503753127606558e+01,1.999999907884969414e-09,1.000000000000000178e+01,6.282088123153964934e-06,2.904503753127606842e+02,1.742702251876563935e+02
2.921100917431192912e+01,1.999999907878748603e-09,1.000000000000000178e+01,6.319265769452656548e-06,2.921100917431193693e+02,1.752660550458715818e+02
2.937698081734779265e+01,1.999999907873508827e-09,1.000000000000000178e+01,6.356443415751238895e-06,2.937698081734779976e+02,1.762618849040867701e+02
2.954295246038365619e+01,1.999999907869363411e-09,1.000000000000000178e+01,6.393621062049698422e-06,2.954295246038366258e+02,1.772577147623019300e+02
2.970892410341951972e+01,1.999999907866426093e-09,1.000000000000000178e+01,6.430798708348022423e-06,2.970892410341952541e+02,1.782535446205171183e+02
2.987489574645538326e+01,1.999999907864809782e-09,1.000000000000000178e+01,6.467976354646198194e-06,2.987489574645538823e+02,1.792493744787323067e+02
3.004086738949124324e+01,1.999999907864627802e-09,1.000000000000000178e+01,6.505154000944213029e-06,3.004086738949125106e+02,1.802452043369474666e+02
3.020683903252710678e+01,1.999999907865994718e-09,1.000000000000000178e+01,6.542331647242055069e-06,3.020683903252711389e+02,1.812410341951626549e+02
3.037281067556297032e+01,1.999999907869023027e-09,1.000000000000000178e+01,6.579509293539710761e-06,3.037281067556297671e+02,1.822368640533778148e+02
3.053878231859883385e+01,1.999999907873826051e-09,1.000000000000000178e+01,6.616686939837168248e-06,3.053878231859883954e+02,1.832326939115930031e+02
3.070475396163469739e+01,1.999999907880517942e-09,1.000000000000000178e+01,6.653864586134413977e-06,3.070475396163470236e+02,1.842285237698081914e+02
3.087072560467056093e+01,1.999999907889212024e-09,1.000000000000000178e+01,6.691042232431435242e-06,3.087072560467056519e+02,1.852243536280233798e+02
3.103669724770642446e+01,1.999999907900021620e-09,1.000000000000000178e+01,6.728219878728220184e-06,3.103669724770642802e+02,1.862201834862385397e+02
3.120266889074228800e+01,1.999999907913060055e-09,1.000000000000000178e+01,6.765397525024754405e-06,3.120266889074229084e+02,1.872160133444537280e+02
3.136864053377815154e+01,1.999999907926565019e-09,1.000000000000000178e+01,6.802575171321236957e-06,3.136864053377815935e+02,1.882118432026689163e+02
3.153461217681401507e+01,1.999999907923473845e-09,1.000000000000000178e+01,6.839752817619577899e-06,3.153461217681402218e+02,1.892076730608840762e+02
