t,node1_u,node1_w,node1_x,node1_c1,node1_c2,node1_z,node1_h,node2_u,node2_w,node2_x,node2_c1,node2_c2,node2_z,node2_h
0.445,0.9692593424584467,0.9743183537336797,0.00836852589314598,0.005059011275285454,0.0024348840462093727,0.002068112987226542,4.399365115446729e-05,0.9695420860103663,0.9745495116426186,0.00828166966207463,0.005007425632363238,0.002410540999333699,0.0020467684835404456,4.265271735128783e-05
0.45,0.9691093766448445,0.9741987271941366,0.008419528877233911,0.005089350549344493,0.0024492402307401922,0.0020807018504380385,4.436845946561914e-05,0.969390887089251,0.9744288756190695,0.008333033930451258,0.005037988529928609,0.002425007092368421,0.002059446281021746,4.30544163255796e-05
0.455,0.9689583745966269,0.9740782380771209,0.008470834987048285,0.0051198634805464105,0.002463675139381495,0.0020933648711996206,4.474359446528341e-05,0.9692386564571167,0.9743073809415799,0.008384699846686333,0.005068724484572468,0.00243955175512661,0.0020721978402148044,4.3455696839548565e-05
0.46,0.9688063319081823,0.9739568828303412,0.008522445826550354,0.005150550922211245,0.0024781891222491236,0.0021061024275252243,4.511909142309404e-05,0.9690853897127129,0.974185024031923,0.00843666904188992,0.005099634319318455,0.0024541753095101196,0.0020850235710537335,4.385661583328891e-05
0.465,0.9686532442074651,0.9738346579294396,0.008574362984661991,0.005181413722026935,0.0024927825291895223,0.0021189148957233414,4.549498627435304e-05,0.9689310824889513,0.9740618013408848,0.008488943138537115,0.005130718852041039,0.002468878074358297,0.002097923880055933,4.425723195461716e-05
0.47000000000000003,0.9684991070609215,0.9737115597932461,0.008626588080372888,0.005212452732377043,0.002507455707100011,0.0021318026626993046,4.5871313507507845e-05,0.9687757303432473,0.973937709263107,0.008541523782717816,0.005161978919966483,0.0024836603768789577,0.002110899169827026,4.4657599916136126e-05
0.47500000000000003,0.9683439160081924,0.9735875848163267,0.008679122745345892,0.0052436688081867406,0.002522209001981342,0.0021447661193449083,4.6248107003933703e-05,0.9686193288012273,0.9738127441691207,0.008594412630206487,0.00519341536799941,0.002498522547696899,0.00212394984200824,4.505777279583023e-05
0.48,0.9681876665889184,0.9734627293932472,0.00873196861124385,0.0052750628043811984,0.002537042759834267,0.0021578056565519465,4.662540064500586e-05,0.968461873388518,0.9736869024294573,0.008647611336777583,0.005225029041044438,0.002513464917436918,0.0021370762982408035,4.545780367168391e-05
0.485,0.9680303543427405,0.9733369899185738,0.008785127309729615,0.00530663557588559,0.0025519573266595385,0.0021709216652122136,4.700322831209957e-05,0.9683033596307462,0.9735601804146481,0.00870112155820556,0.005256820784006187,0.0025284878167238117,0.0021502789401659445,4.58577456216816e-05
0.49,0.9678719747805932,0.973210362761593,0.008838600485471478,0.005338387981052226,0.0025669530480639654,0.0021841145395301844,4.7381623283110195e-05,0.9681437830222978,0.97343257447012,0.008754944960593617,0.005288791447925877,0.0025435915785858463,0.0021635581703175494,4.625765015795666e-05
0.495,0.9677125234443673,0.9730828443168243,0.008892389771393101,0.005370320872509355,0.002582030268270829,0.0021973846726938795,4.776061936502546e-05,0.9679831390857022,0.9733040809663664,0.008809083200126033,0.005320941880767112,0.0025587765352969704,0.002176914387070634,4.665757004227797e-05
